Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Média 2010/2019
Centro Leste,Feira de Santana,291330,Ichu,17.4603174603175,17.910447761194,24.6575342465753,15.6626506024096,24.1379310344828,18.5714285714286,17.5,19.3548387096774,16.6666666666667,19.4444444444444,19.136625949719633
Centro Leste,Feira de Santana,291380,Ipecaetá,16.1137440758294,14.7982062780269,13.5514018691589,22.3463687150838,15.6626506024096,12.9251700680272,22.6190476190476,16.8918918918919,16.1764705882353,14.7435897435897,16.582854145130028
Centro Leste,Feira de Santana,291400,Ipirá,23.0690010298661,22.9190421892816,23.536036036036,21.1842105263158,20.4439252336449,23.1722428748451,21.8790218790219,21.1608222490931,20.1732673267327,20.6145966709347,21.81521660157719
Centro Leste,Feira de Santana,291450,Irará,18.0246913580247,18.5792349726776,16.8367346938775,20.2898550724638,18.5714285714286,19.6531791907514,15.7894736842105,18.7311178247734,14.2424242424242,16.1538461538462,17.687198576447788
Centro Leste,Feira de Santana,292210,Mundo Novo,25.9146341463415,25.5451713395639,28.2051282051282,27.0676691729323,30.7339449541284,28.8135593220339,27.536231884058,24.1666666666667,22.0183486238532,25.7425742574257,26.574392857213184
Centro Leste,Feira de Santana,292273,Nova Fátima,19.7674418604651,17.8571428571429,11.864406779661,19.3877551020408,19.6261682242991,16.1290322580645,18.8888888888889,15.4929577464789,20.2898550724638,19.7183098591549,17.90219586486599
Centro Leste,Feira de Santana,292405,Pé de Serra,17.6795580110497,20.4968944099379,19.047619047619,15.0684931506849,22.4489795918367,19.4117647058824,19.2771084337349,23.6363636363636,15.3284671532847,11.5942028985507,18.398945103894448
Centro Leste,Feira de Santana,292465,Pintadas,22.9885057471264,24.7863247863248,31.6326530612245,24.4444444444444,24.1758241758242,20.2380952380952,16.3265306122449,32.183908045977,26.8817204301075,17.7083333333333,24.13663398747022
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,18.5430463576159,24.0282685512367,19.5945945945946,20.5882352941176,24.4525547445255,21.3523131672598,23.5714285714286,18.705035971223,24.1379310344828,20.7547169811321,21.57281252676166
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,16.2234042553192,18.6157517899761,18.8372093023256,20.5655526992288,19.1326530612245,17.4683544303797,18.3879093198992,17.6610978520286,16.8316831683168,17.005076142132,18.07286920208305
