Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-11-01 00:00:00
Sudoeste,Vitória da Conquista,293180,Tremedal,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,293190,Tucano,0.2459,0.355,0.189,0.1313,0.3411,0.3137
Norte,Juazeiro,293200,Uauá,0.5481,0.5501,0.6672,0.8032,0.8454,0.854
Leste,Santo Antônio de Jesus,293210,Ubaíra,0.8089,0.8806,0.9234,1.0,1.0,1.0
Sul,Itabuna,293220,Ubaitaba,0.8217,0.8288,0.8355,0.8419,0.8949,0.9052
Sul,Itabuna,293230,Ubatã,0.5152,0.1275,0.3792,0.376,0.3863,0.3828
Centro Norte,Irecê,293240,Uibaí,1.0,0.9528,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,293245,Umburanas,0.7321,0.5432,0.7134,1.0,0.859,1.0
Sul,Ilhéus,293250,Una,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,293260,Urandi,0.1998,0.3988,0.3982,0.7951,1.0,1.0
Sul,Ilhéus,293270,Uruçuca,0.9373,1.0,0.9298,0.9327,1.0,1.0
Centro Leste,Itaberaba,293280,Utinga,0.8851,1.0,1.0,1.0,1.0,0.7196
Sul,Valença,293290,Valença,0.1787,0.2127,0.2111,0.2795,0.4851,0.5282
Centro Leste,Serrinha,293300,Valente,0.7515,0.7418,0.686,0.7985,0.6132,0.6058
Centro Norte,Jacobina,293305,Várzea da Roça,0.9392,0.9369,0.9431,1.0,1.0,1.0
Centro Norte,Jacobina,293310,Várzea do Poço,0.7369,0.7328,0.7337,0.7302,0.7558,0.7525
Centro Norte,Jacobina,293315,Várzea Nova,0.2551,0.2561,0.5111,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,293317,Varzedo,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,293320,Vera Cruz,0.4097,0.5557,0.5595,0.6324,0.7271,0.7184
Extremo Sul,Teixeira de Freitas,293325,Vereda,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,293330,Vitória da Conquista,0.5273,0.5205,0.5305,0.5798,0.5745,0.5072
Centro Leste,Itaberaba,293340,Wagner,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,293345,Wanderley,1.0,1.0,1.0,1.0,1.0,0.8457
Sul,Valença,293350,Wenceslau Guimarães,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,293360,Xique-Xique,0.697,0.6954,0.8079,0.8777,1.0,0.8906
