Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Leste,Feira de Santana,293040,Serra Preta,11.0,25.0,23,15,23.0,32,21.0,18.0,18.0,19.0,20.0
Centro Leste,Feira de Santana,293110,Tanquinho,4.0,8.0,13,11,8.0,17,13.0,12.0,10.0,9.0,19.0
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,9.0,9.0,9,11,11.0,19,11.0,6.0,11.0,7.0,10.0
Centro Leste,Feira de Santana,293170,Terra Nova,21.0,19.0,15,16,15.0,21,15.0,11.0,11.0,12.0,14.0
Centro Leste,Itaberaba,290130,Andaraí,15.0,13.0,19,12,11.0,14,15.0,9.0,12.0,15.0,12.0
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,16.0,13.0,15,13,14.0,16,22.0,20.0,21.0,9.0,14.0
Centro Leste,Itaberaba,290405,Bonito,6.0,12.0,16,15,16.0,9,13.0,9.0,22.0,21.0,17.0
Centro Leste,Itaberaba,291190,Iaçu,26.0,29.0,26,17,31.0,34,48.0,31.0,32.0,38.0,30.0
Centro Leste,Itaberaba,291260,Ibiquera,2.0,4.0,4,2,3.0,-,5.0,3.0,2.0,6.0,4.0
Centro Leste,Itaberaba,291470,Itaberaba,69.0,54.0,72,86,77.0,86,71.0,99.0,85.0,77.0,78.0
Centro Leste,Itaberaba,291500,Itaeté,13.0,7.0,11,15,12.0,4,11.0,14.0,9.0,14.0,20.0
Centro Leste,Itaberaba,291900,Lajedinho,3.0,7.0,1,3,4.0,4,7.0,4.0,11.0,2.0,3.0
Centro Leste,Itaberaba,291960,Macajuba,11.0,9.0,13,14,13.0,12,13.0,10.0,9.0,17.0,14.0
Centro Leste,Itaberaba,292080,Marcionílio Souza,6.0,5.0,6,4,5.0,13,9.0,13.0,8.0,18.0,9.0
Centro Leste,Itaberaba,292285,Nova Redenção,11.0,10.0,3,13,8.0,9,4.0,8.0,9.0,5.0,10.0
Centro Leste,Itaberaba,292720,Ruy Barbosa,29.0,32.0,46,43,38.0,42,48.0,41.0,42.0,49.0,31.0
Centro Leste,Itaberaba,293280,Utinga,25.0,29.0,16,24,19.0,22,12.0,18.0,16.0,25.0,25.0
Centro Leste,Itaberaba,293340,Wagner,9.0,6.0,5,11,9.0,10,5.0,11.0,11.0,16.0,8.0
Centro Leste,Seabra,290010,Abaíra,8.0,11.0,7,7,10.0,7,6.0,7.0,11.0,20.0,6.0
Centro Leste,Seabra,290400,Boninal,10.0,16.0,12,11,8.0,8,9.0,16.0,19.0,18.0,11.0
Centro Leste,Seabra,291300,Ibitiara,7.0,17.0,8,16,21.0,8,15.0,11.0,11.0,24.0,23.0
Centro Leste,Seabra,291440,Iraquara,32.0,26.0,20,28,26.0,29,28.0,29.0,31.0,26.0,30.0
Centro Leste,Seabra,291930,Lençóis,5.0,7.0,11,14,11.0,7,8.0,14.0,5.0,10.0,6.0
Centro Leste,Seabra,292190,Mucugê,13.0,9.0,9,8,13.0,11,14.0,10.0,13.0,10.0,7.0
Centro Leste,Seabra,292303,Novo Horizonte,5.0,4.0,6,10,12.0,11,14.0,7.0,17.0,13.0,17.0
Centro Leste,Seabra,292350,Palmeiras,5.0,6.0,6,6,7.0,4,5.0,10.0,8.0,8.0,7.0
Centro Leste,Seabra,292430,Piatã,13.0,9.0,15,14,17.0,16,19.0,25.0,30.0,21.0,27.0
Centro Leste,Seabra,292990,Seabra,32.0,40.0,23,30,41.0,34,39.0,27.0,42.0,47.0,30.0
Centro Leste,Seabra,293080,Souto Soares,14.0,18.0,18,17,19.0,19,21.0,21.0,30.0,15.0,13.0
Centro Leste,Serrinha,290040,Água Fria,9.0,17.0,15,11,13.0,9,6.0,10.0,5.0,13.0,10.0
