Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,Unnamed: 5,2011,Unnamed: 7,2012,Unnamed: 9,2013,Unnamed: 11,2014,Unnamed: 13,2015,Unnamed: 15,2016,Unnamed: 17,2017,Unnamed: 19,2018,Unnamed: 21,2019,Unnamed: 23,2020,Unnamed: 25
Centro Leste,Feira de Santana,291400,Ipirá,0,-,1,-,1,-,1,-,1,-,1,-,0,-,1,-,1,-,2,-,0,-
Centro Leste,Feira de Santana,291450,Irará,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-
Centro Leste,Feira de Santana,292210,Mundo Novo,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-
Centro Leste,Feira de Santana,292273,Nova Fátima,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,292405,Pé de Serra,1,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,292465,Pintadas,0,-,0,-,0,-,1,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,1,-,0,-,0,-,2,-,0,-,0,-,1,-,1,-,0,-,1,-,0,-
Centro Leste,Feira de Santana,292750,Santa Bárbara,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,292830,Santanópolis,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,292880,Santo Estêvão,1,-,1,-,0,-,0,-,0,-,2,-,2,-,1,-,0,-,1,-,0,-
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,1,-,1,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,1,-
Centro Leste,Feira de Santana,293040,Serra Preta,1,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,1,-
Centro Leste,Feira de Santana,293110,Tanquinho,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Centro Leste,Feira de Santana,293170,Terra Nova,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Itaberaba,290130,Andaraí,0,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2,-,0,-,0,-,0,-
Centro Leste,Itaberaba,290405,Bonito,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Centro Leste,Itaberaba,291190,Iaçu,2,-,0,-,1,-,0,-,1,-,0,-,1,-,0,-,0,-,0,-,0,-
Centro Leste,Itaberaba,291260,Ibiquera,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Itaberaba,291470,Itaberaba,0,-,1,-,1,-,0,-,3,-,1,-,1,-,0,-,1,-,1,-,0,-
Centro Leste,Itaberaba,291500,Itaeté,0,-,1,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Itaberaba,291900,Lajedinho,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Itaberaba,291960,Macajuba,1,-,2,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Itaberaba,292080,Marcionílio Souza,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Itaberaba,292285,Nova Redenção,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-
Centro Leste,Itaberaba,292720,Ruy Barbosa,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,3,-,1,-,0,-
Centro Leste,Itaberaba,293280,Utinga,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-
Centro Leste,Itaberaba,293340,Wagner,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Centro Leste,Seabra,290010,Abaíra,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Seabra,290400,Boninal,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Seabra,291300,Ibitiara,0,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Centro Leste,Seabra,291440,Iraquara,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Centro Leste,Seabra,291930,Lençóis,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Seabra,292190,Mucugê,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Centro Leste,Seabra,292303,Novo Horizonte,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Seabra,292350,Palmeiras,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Seabra,292430,Piatã,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2,-,0,-,0,-,0,-
Centro Leste,Seabra,292990,Seabra,0,-,0,-,0,-,1,-,1,-,1,-,0,-,1,-,0,-,0,-,0,-
Centro Leste,Seabra,293080,Souto Soares,0,-,0,-,0,-,2,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-
Centro Leste,Serrinha,290040,Água Fria,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-
Centro Leste,Serrinha,290210,Araci,0,-,0,-,0,-,3,-,2,-,1,-,1,-,0,-,0,-,0,-,1,-
Centro Leste,Serrinha,290327,Barrocas,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Serrinha,290360,Biritinga,0,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,1,-,0,-,0,-
Centro Leste,Serrinha,290680,Cansanção,0,-,5,-,0,-,1,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-
Centro Leste,Serrinha,290840,Conceição do Coité,1,-,0,-,0,-,1,-,1,-,1,-,0,-,2,-,0,-,1,-,0,-
Centro Leste,Serrinha,291070,Euclides da Cunha,0,-,0,-,1,-,0,-,1,-,0,-,0,-,1,-,0,-,1,-,0,-
Centro Leste,Serrinha,291910,Lamarão,1,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Serrinha,292150,Monte Santo,0,-,1,-,0,-,2,-,2,-,0,-,1,-,0,-,0,-,0,-,0,-
Centro Leste,Serrinha,292265,Nordestina,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-
Centro Leste,Serrinha,292580,Queimadas,0,-,2,-,0,-,1,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Serrinha,292590,Quijingue,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,1,-,0,-
Centro Leste,Serrinha,292610,Retirolândia,1,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Serrinha,292800,Santaluz,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Serrinha,292895,São Domingos,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-
Centro Leste,Serrinha,293050,Serrinha,3,-,2,-,0,-,2,-,0,-,1,-,1,-,0,-,0,-,1,-,2,-
Centro Leste,Serrinha,293150,Teofilândia,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Serrinha,293190,Tucano,1,-,2,-,2,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-
Centro Leste,Serrinha,293300,Valente,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,290115,América Dourada,0,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,290300,Barra do Mendes,0,-,0,-,0,-,2,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-
Centro Norte,Irecê,290323,Barro Alto,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-
Centro Norte,Irecê,290530,Cafarnaum,0,-,1,-,0,-,0,-,0,-,0,-,1,-,1,-,1,-,0,-,0,-
Centro Norte,Irecê,290620,Canarana,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-
Centro Norte,Irecê,290760,Central,0,-,0,-,1,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,291130,Gentio do Ouro,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,291240,Ibipeba,1,-,0,-,0,-,0,-,2,-,0,-,1,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,291310,Ibititá,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,291460,Irecê,0,-,2,-,1,-,2,-,0,-,0,-,0,-,0,-,2,-,1,-,0,-
Centro Norte,Irecê,291535,Itaguaçu da Bahia,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Centro Norte,Irecê,291835,João Dourado,0,-,0,-,0,-,1,-,0,-,0,-,0,-,2,-,0,-,0,-,0,-
Centro Norte,Irecê,291850,Jussara,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,291915,Lapão,0,-,1,-,2,-,1,-,0,-,0,-,1,-,0,-,1,-,0,-,0,-
Centro Norte,Irecê,292205,Mulungu do Morro,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,292560,Presidente Dutra,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,292925,São Gabriel,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-
Centro Norte,Irecê,293240,Uibaí,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Irecê,293360,Xique-Xique,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,2,-
Centro Norte,Jacobina,290510,Caém,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,290550,Caldeirão Grande,1,-,0,-,0,-,1,-,0,-,1,-,1,-,1,-,0,-,0,-,1,-
Centro Norte,Jacobina,290687,Capim Grosso,0,-,0,-,0,-,1,-,0,-,2,-,1,-,0,-,0,-,0,-,1,-
Centro Norte,Jacobina,291750,Jacobina,0,-,0,-,0,-,1,-,2,-,3,-,1,-,0,-,0,-,1,-,0,-
Centro Norte,Jacobina,292010,Mairi,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,292120,Miguel Calmon,1,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-,0,-,1,-
Centro Norte,Jacobina,292140,Mirangaba,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,292170,Morro do Chapéu,0,-,0,-,0,-,2,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-
Centro Norte,Jacobina,292335,Ourolândia,0,-,1,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Centro Norte,Jacobina,292480,Piritiba,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,292593,Quixabeira,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,292937,São José do Jacuípe,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,292980,Saúde,1,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,293060,Serrolândia,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,293130,Tapiramutá,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,1,-,0,-,0,-
Centro Norte,Jacobina,293245,Umburanas,1,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,293305,Várzea da Roça,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Centro Norte,Jacobina,293310,Várzea do Poço,2,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Norte,Jacobina,293315,Várzea Nova,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-
Extremo Sul,Porto Seguro,290340,Belmonte,0,-,0,-,2,-,4,-,1,-,1,-,0,-,1,-,0,-,1,-,0,-
Extremo Sul,Porto Seguro,291072,Eunápolis,1,53.7634408602151,0,-,1,54.4365813826892,1,58.9970501474926,2,117.027501462844,2,111.42061281337,0,-,0,-,1,50.2765208647562,2,101.36847440446,2,119.402985074627
Extremo Sul,Porto Seguro,291180,Guaratinga,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Extremo Sul,Porto Seguro,291465,Itabela,1,-,1,-,0,-,1,-,0,-,1,-,0,-,1,-,2,-,0,-,0,-
Extremo Sul,Porto Seguro,291530,Itagimirim,1,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-
Extremo Sul,Porto Seguro,291630,Itapebi,0,-,1,-,0,-,1,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-
Extremo Sul,Porto Seguro,292530,Porto Seguro,3,121.901665989435,3,128.644939965695,3,124.688279301746,3,126.156433978133,0,-,3,112.824370063934,1,38.8500388500388,1,36.1663652802893,3,104.602510460251,1,34.2465753424658,2,76.9526741054252
Extremo Sul,Porto Seguro,292770,Santa Cruz Cabrália,2,-,1,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,290690,Caravelas,0,-,2,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,0,-,0,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,2,-,0,-,2,-,2,-,0,-,1,-,1,-,3,-,1,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,291600,Itanhém,0,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,0,-,0,-,1,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,291890,Lajedão,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,292200,Mucuri,1,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,2,-,0,-
Extremo Sul,Teixeira de Freitas,292300,Nova Viçosa,3,-,0,-,1,-,1,-,0,-,1,-,0,-,0,-,0,-,1,-,1,-
Extremo Sul,Teixeira de Freitas,292550,Prado,3,-,2,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,0,-,3,112.570356472796,2,73.6105999263894,1,38.6100386100386,1,37.7216144851,0,0,1,40.8663669799755,1,38.0228136882129,1,37.4672161858374,0,-,3,123.253903040263
Extremo Sul,Teixeira de Freitas,293325,Vereda,0,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-
Leste,Camaçari,290570,Camaçari,5,119.588615163836,3,70.5882352941177,4,95.3516090584029,4,93.8967136150235,0,-,1,21.8007412252017,1,23.6574402649633,2,45.6308464522017,1,22.8154232261008,1,23.4962406015038,4,110.926234054354
Leste,Camaçari,290860,Conde,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-,1,-,0,-,0,-
Leste,Camaçari,291005,Dias d'Ávila,0,-,2,-,2,-,2,-,1,-,0,-,1,-,1,-,2,-,1,-,2,-
Leste,Camaçari,292100,Mata de São João,2,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Leste,Camaçari,292520,Pojuca,2,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-
Leste,Camaçari,293070,Simões Filho,0,-,0,-,2,106.951871657754,1,50.4795557799091,1,54.0540540540541,1,53.0785562632696,1,50.0500500500501,0,-,1,52.5210084033613,0,-,0,-
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,0,-,0,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-,0,-
Leste,Cruz das Almas,290490,Cachoeira,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Cruz das Almas,290820,Conceição da Feira,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Leste,Cruz das Almas,290980,Cruz das Almas,2,-,0,-,0,-,1,-,1,-,1,-,1,-,2,-,1,-,0,-,0,-
Leste,Cruz das Almas,291160,Governador Mangabeira,0,-,1,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-
Leste,Cruz das Almas,292060,Maragogipe,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Cruz das Almas,292230,Muritiba,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Cruz das Almas,292900,São Félix,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Cruz das Almas,292960,Sapeaçu,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-
Leste,Salvador,290650,Candeias,2,-,1,-,1,-,2,-,0,-,0,-,1,-,3,-,2,-,0,-,0,-
Leste,Salvador,291610,Itaparica,1,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-
Leste,Salvador,291920,Lauro de Freitas,2,67.6132521974307,2,67.842605156038,2,64.6203554119548,2,61.3685179502915,0,-,3,90.0630441308916,0,-,4,133.200133200133,1,31.9590923617769,0,-,5,182.681768359518
Leste,Salvador,291992,Madre de Deus,0,-,0,-,1,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Salvador,292740,Salvador,33,90.5424314758416,21,56.1212218391726,25,67.3255594753992,23,63.0793703033295,33,89.9599269416351,21,57.4696915793219,21,59.9623094055165,19,53.6965860275831,17,48.8393472764882,17,51.5557712136835,28,100.770172029079
Leste,Salvador,292860,Santo Amaro,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Salvador,292920,São Francisco do Conde,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-
Leste,Salvador,292950,São Sebastião do Passé,0,-,1,-,0,-,0,-,0,-,1,-,2,-,0,-,0,-,0,-,0,-
Leste,Salvador,292975,Saubara,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Leste,Salvador,293320,Vera Cruz,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Leste,Santo Antônio de Jesus,290100,Amargosa,2,-,0,-,0,-,0,-,0,-,0,-,1,-,2,-,1,-,0,-,0,-
Leste,Santo Antônio de Jesus,290230,Aratuípe,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,290730,Castro Alves,1,-,0,-,1,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-,1,-
Leste,Santo Antônio de Jesus,290830,Conceição do Almeida,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Leste,Santo Antônio de Jesus,291020,Dom Macedo Costa,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,291030,Elísio Medrado,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-
Leste,Santo Antônio de Jesus,291685,Itatim,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,291780,Jaguaripe,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,291820,Jiquiriçá,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,291880,Laje,1,-,0,-,0,-,0,-,1,-,2,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,292130,Milagres,2,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,292220,Muniz Ferreira,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,292240,Mutuípe,1,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,292250,Nazaré,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,292575,Presidente Tancredo Neves,0,-,1,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,292730,Salinas da Margarida,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,1,-,0,-
Leste,Santo Antônio de Jesus,292850,Santa Teresinha,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,292870,Santo Antônio de Jesus,2,-,1,-,1,-,0,-,0,-,2,131.061598951507,1,71.5819613457409,1,70.7714083510262,1,71.6845878136201,2,146.412884333821,0,-
Leste,Santo Antônio de Jesus,292910,São Felipe,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,1,-,0,-,0,-
Leste,Santo Antônio de Jesus,292940,São Miguel das Matas,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Leste,Santo Antônio de Jesus,293210,Ubaíra,0,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-
Leste,Santo Antônio de Jesus,293317,Varzedo,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Nordeste,Alagoinhas,290030,Acajutiba,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-
Nordeste,Alagoinhas,290070,Alagoinhas,0,-,0,-,0,-,2,89.126559714795,3,127.280441238863,2,81.9000819000819,1,41.1861614497529,1,41.8235048097031,1,42.2119037568594,0,-,1,53.6480686695279
Nordeste,Alagoinhas,290190,Aporá,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Nordeste,Alagoinhas,290205,Araçás,0,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,1,-,0,-,1,-
Nordeste,Alagoinhas,290220,Aramari,0,-,0,-,1,-,1,-,1,-,0,-,2,-,0,-,0,-,0,-,0,-
Nordeste,Alagoinhas,290700,Cardeal da Silva,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Nordeste,Alagoinhas,290750,Catu,2,-,0,-,0,-,1,-,0,-,1,-,0,-,0,-,2,-,0,-,0,-
Nordeste,Alagoinhas,290960,Crisópolis,0,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Nordeste,Alagoinhas,291050,Entre Rios,1,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-
Nordeste,Alagoinhas,291060,Esplanada,1,-,0,-,1,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-
Nordeste,Alagoinhas,291370,Inhambupe,0,-,0,-,1,-,0,-,1,-,0,-,1,-,1,-,0,-,0,-,1,-
Nordeste,Alagoinhas,291590,Itanagra,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
Nordeste,Alagoinhas,291650,Itapicuru,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,3,-,0,-
Nordeste,Alagoinhas,291790,Jandaíra,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Nordeste,Alagoinhas,292330,Ouriçangas,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,1,-,0,-,0,-
