Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Norte,Jacobina,292170,Morro do Chapéu,100.0,80.0,66.7,100.0,83.3,100.0,100.0,71.4,0.0,100.0,100.0
Centro Norte,Jacobina,292335,Ourolândia,100.0,0.0,0.0,0.0,100.0,100.0,100.0,75.0,100.0,100.0,0.0
Centro Norte,Jacobina,292480,Piritiba,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0
Centro Norte,Jacobina,292593,Quixabeira,50.0,100.0,0.0,33.3,0.0,0.0,0.0,100.0,0.0,50.0,100.0
Centro Norte,Jacobina,292937,São José do Jacuípe,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Centro Norte,Jacobina,292980,Saúde,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Centro Norte,Jacobina,293060,Serrolândia,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0
Centro Norte,Jacobina,293130,Tapiramutá,100.0,66.7,100.0,50.0,50.0,100.0,100.0,0.0,25.0,0.0,0.0
Centro Norte,Jacobina,293245,Umburanas,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Centro Norte,Jacobina,293305,Várzea da Roça,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
Centro Norte,Jacobina,293310,Várzea do Poço,0.0,66.7,100.0,0.0,100.0,100.0,0.0,100.0,0.0,50.0,0.0
Centro Norte,Jacobina,293315,Várzea Nova,100.0,0.0,100.0,66.7,100.0,100.0,0.0,100.0,0.0,100.0,0.0
Extremo Sul,Porto Seguro,290340,Belmonte,100.0,75.0,80.0,85.7,40.0,55.6,92.9,50.0,20.0,80.0,75.0
Extremo Sul,Porto Seguro,291072,Eunápolis,72.4,80.9,81.5,75.0,83.6,70.4,60.0,64.9,73.7,90.6,78.7
Extremo Sul,Porto Seguro,291180,Guaratinga,72.7,83.9,77.4,75.0,100.0,85.7,33.3,0.0,75.0,87.5,91.7
Extremo Sul,Porto Seguro,291465,Itabela,90.5,88.9,90.5,76.5,82.5,79.5,78.1,72.7,86.4,80.6,72.7
Extremo Sul,Porto Seguro,291530,Itagimirim,0.0,0.0,100.0,100.0,40.0,100.0,100.0,0.0,0.0,0.0,100.0
Extremo Sul,Porto Seguro,291630,Itapebi,0.0,50.0,100.0,100.0,100.0,100.0,66.7,33.3,0.0,100.0,0.0
Extremo Sul,Porto Seguro,292530,Porto Seguro,84.1,71.7,78.8,77.6,64.0,74.1,82.8,72.4,69.2,76.7,67.6
Extremo Sul,Porto Seguro,292770,Santa Cruz Cabrália,25.0,11.1,57.1,55.6,33.3,100.0,90.9,50.0,38.5,50.0,58.8
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,100.0,87.5,76.9,76.9,71.4,76.9,75.0,25.0,12.5,0.0,0.0
Extremo Sul,Teixeira de Freitas,290690,Caravelas,50.0,100.0,83.3,0.0,100.0,100.0,75.0,33.3,0.0,0.0,0.0
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,96.1,86.4,100.0,90.9,88.4,68.2,94.1,87.5,71.4,95.5,66.7
Extremo Sul,Teixeira de Freitas,291600,Itanhém,90.9,100.0,100.0,100.0,100.0,100.0,83.3,100.0,75.0,50.0,80.0
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,100.0,0.0
Extremo Sul,Teixeira de Freitas,291890,Lajedão,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,75.0,80.0,100.0,75.0,100.0,75.0,50.0,100.0,75.0,100.0,100.0
Extremo Sul,Teixeira de Freitas,292200,Mucuri,85.7,85.7,85.7,42.9,93.3,66.7,85.7,100.0,100.0,100.0,90.9
Extremo Sul,Teixeira de Freitas,292300,Nova Viçosa,77.8,87.5,87.5,80.0,83.3,75.0,62.5,100.0,0.0,25.0,33.3
Extremo Sul,Teixeira de Freitas,292550,Prado,63.6,80.0,85.7,100.0,70.0,100.0,88.9,100.0,77.8,100.0,86.7
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,90.0,89.2,83.7,94.4,89.7,83.3,74.4,74.1,68.4,93.9,88.9
Extremo Sul,Teixeira de Freitas,293325,Vereda,66.7,100.0,0.0,0.0,80.0,50.0,0.0,100.0,0.0,0.0,0.0
Leste,Camaçari,290570,Camaçari,87.1,77.8,86.7,70.6,76.6,74.2,80.4,76.1,89.3,80.0,83.9
Leste,Camaçari,290860,Conde,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0
Leste,Camaçari,291005,Dias d'Ávila,50.0,80.0,0.0,60.0,16.7,75.0,88.9,50.0,75.0,60.0,66.7
Leste,Camaçari,292100,Mata de São João,33.3,50.0,100.0,75.0,62.5,0.0,83.3,66.7,100.0,83.3,75.0
Leste,Camaçari,292520,Pojuca,66.7,0.0,100.0,0.0,100.0,0.0,0.0,66.7,50.0,0.0,16.7
