Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Média 2010/2019,2020*
Centro Leste,Feira de Santana,291330,Ichu,58.730158730158735,58.2089552238806,64.38356164383562,59.036144578313255,58.620689655172406,52.85714285714286,47.5,38.70967741935484,27.083333333333332,41.66666666666667,50.67963301078583,31.428571428571427
Centro Leste,Feira de Santana,291380,Ipecaetá,56.872037914691944,53.81165919282511,47.66355140186916,62.56983240223464,56.024096385542165,65.98639455782312,60.11904761904761,58.108108108108105,54.41176470588235,54.48717948717948,57.00536717752036,64.86486486486487
Centro Leste,Feira de Santana,291400,Ipirá,71.26673532440783,67.61687571265679,71.3963963963964,62.23684210526316,65.42056074766354,66.91449814126395,65.8944658944659,59.371221281741235,56.806930693069305,51.85659411011524,63.87811204070433,52.243589743589745
Centro Leste,Feira de Santana,291450,Irará,67.1604938271605,63.114754098360656,64.79591836734694,62.89855072463768,65.42857142857143,67.63005780346822,77.28531855955679,74.01812688821752,69.0909090909091,60.38461538461538,67.18073161728442,64.7940074906367
Centro Leste,Feira de Santana,292210,Mundo Novo,70.1219512195122,64.797507788162,71.47435897435898,69.92481203007519,68.34862385321101,72.45762711864407,64.25120772946859,68.75,64.22018348623854,64.85148514851485,67.91977573481853,59.49367088607595
Centro Leste,Feira de Santana,292273,Nova Fátima,72.09302325581395,45.23809523809524,42.3728813559322,46.93877551020408,57.009345794392516,55.91397849462365,40.0,42.25352112676056,34.78260869565217,53.52112676056338,49.012335623203775,47.61904761904761
Centro Leste,Feira de Santana,292405,Pé de Serra,67.40331491712708,64.59627329192547,57.738095238095234,54.794520547945204,57.82312925170068,60.588235294117645,59.63855421686747,51.515151515151516,51.09489051094891,52.89855072463768,57.809071550851684,52.98507462686567
Centro Leste,Feira de Santana,292465,Pintadas,73.5632183908046,64.95726495726495,72.44897959183673,77.77777777777779,72.52747252747253,72.61904761904762,67.3469387755102,60.91954022988506,67.74193548387096,68.75,69.86521753534704,64.0625
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,48.34437086092716,50.8833922261484,56.41891891891891,63.23529411764706,62.40875912408759,66.90391459074732,63.92857142857142,61.15107913669065,54.54545454545454,62.264150943396224,59.00839058925893,63.101604278074866
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,58.77659574468085,58.94988066825776,47.44186046511628,57.326478149100254,51.275510204081634,52.65822784810127,42.56926952141058,40.81145584725537,42.07920792079208,53.80710659898477,50.56955929677809,46.10951008645533
Centro Leste,Feira de Santana,292750,Santa Bárbara,60.182370820668694,51.78571428571429,54.01234567901234,64.28571428571429,62.76595744680851,60.74380165289256,62.05128205128205,55.29953917050692,55.80357142857143,52.4390243902439,57.93693212114149,58.080808080808076
Centro Leste,Feira de Santana,292830,Santanópolis,51.8796992481203,68.64406779661016,63.28125,58.4070796460177,70.12987012987013,72.04301075268818,74.6268656716418,71.42857142857143,76.92307692307693,60.0,66.73634915965965,64.15094339622641
Centro Leste,Feira de Santana,292880,Santo Estêvão,55.3939393939394,55.72413793103448,58.344459279038716,57.98429319371727,62.16216216216216,59.4488188976378,58.536585365853654,60.21080368906456,58.36734693877551,53.042121684867396,57.92146685360909,53.95430579964851
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,56.72268907563025,54.19103313840156,60.50228310502283,56.188118811881196,54.377880184331794,61.75771971496437,56.36856368563685,52.601156069364166,45.30386740331492,46.68508287292818,54.469839406147614,49.834983498349835
Centro Leste,Feira de Santana,293040,Serra Preta,46.601941747572816,53.80710659898477,44.39252336448598,58.95953757225434,59.72222222222222,70.51282051282051,61.32075471698113,62.903225806451616,73.46938775510205,51.89873417721519,58.358825447409046,55.12820512820513
Centro Leste,Feira de Santana,293110,Tanquinho,67.3469387755102,63.2183908045977,52.336448598130836,60.91954022988506,57.14285714285714,68.18181818181817,63.934426229508205,56.25,50.588235294117645,69.23076923076923,60.91494244871942,65.27777777777779
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,70.58823529411765,61.36363636363637,64.86486486486487,67.14285714285714,55.172413793103445,69.35483870967742,72.72727272727273,68.62745098039215,65.625,66.66666666666666,66.21332365425884,59.375
Centro Leste,Feira de Santana,293170,Terra Nova,71.61290322580646,68.57142857142857,64.13043478260869,59.72222222222222,68.64406779661016,69.34306569343066,64.76190476190476,68.75,73.63636363636363,65.625,67.47973906903752,63.91752577319587
Centro Leste,Itaberaba,290130,Andaraí,77.59562841530054,70.65868263473054,67.85714285714286,62.5,68.67469879518072,65.21739130434783,72.6027397260274,69.31818181818183,72.53886010362694,67.66169154228857,69.46250171968272,66.45161290322581
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,77.08333333333334,71.9869706840391,74.81481481481481,71.83673469387755,62.139917695473244,62.916666666666664,67.61133603238866,75.63025210084034,65.48672566371681,60.51282051282051,69.0019572197971,59.512195121951216
Centro Leste,Itaberaba,290405,Bonito,85.53719008264463,80.16194331983806,79.6078431372549,78.0327868852459,74.39613526570048,73.046875,80.68669527896995,73.9622641509434,65.15151515151516,70.86614173228347,76.14493900043959,55.70776255707762
Centro Leste,Itaberaba,291190,Iaçu,63.30935251798561,71.25890736342043,77.24719101123596,59.217877094972074,57.55395683453237,57.80487804878048,56.75,56.35491606714629,53.5632183908046,49.73262032085562,60.279291764973344,44.178082191780824
Centro Leste,Itaberaba,291260,Ibiquera,66.66666666666666,61.016949152542374,75.51020408163265,69.38775510204081,37.735849056603776,68.33333333333333,61.904761904761905,62.22222222222222,59.61538461538461,47.72727272727273,61.012039886246114,52.083333333333336
Centro Leste,Itaberaba,291470,Itaberaba,62.39130434782608,55.85412667946257,53.879310344827594,50.91649694501018,48.751357220412594,43.581780538302276,47.921225382932164,43.398392652123995,46.979166666666664,43.76930998970134,49.74424707672655,42.34354194407457
Centro Leste,Itaberaba,291500,Itaeté,82.35294117647058,84.94208494208493,72.35772357723577,71.65991902834008,65.15837104072398,62.96296296296296,70.35175879396985,72.6027397260274,66.82692307692307,64.39024390243902,71.36056682271777,61.49068322981367
Centro Leste,Itaberaba,291900,Lajedinho,71.21212121212122,86.0,76.47058823529412,67.44186046511628,73.33333333333333,65.11627906976744,52.38095238095239,64.28571428571429,42.857142857142854,52.5,65.1597991839442,62.5
Centro Leste,Itaberaba,291960,Macajuba,72.12121212121212,73.84615384615385,78.77094972067039,73.84615384615385,74.30555555555556,70.76923076923077,72.37569060773481,64.1891891891892,64.70588235294117,60.13986013986013,70.5069878148702,59.82905982905983
Centro Leste,Itaberaba,292080,Marcionílio Souza,70.1219512195122,68.02325581395348,73.75886524822694,63.26530612244898,64.92537313432835,63.76811594202898,75.23809523809524,71.09375,63.84615384615384,61.76470588235294,67.58055724471009,61.05263157894737
Centro Leste,Itaberaba,292285,Nova Redenção,74.75728155339806,66.94915254237289,71.42857142857143,68.57142857142857,68.96551724137932,63.52941176470588,71.56862745098039,66.66666666666666,65.26315789473685,43.80952380952381,66.15093389237639,54.32098765432099
Centro Leste,Itaberaba,292720,Ruy Barbosa,73.89277389277389,69.0677966101695,66.15720524017468,66.5893271461717,65.81740976645435,67.49482401656314,68.25,57.48373101952278,63.80510440835266,71.56177156177156,67.01199436619542,67.3913043478261
Centro Leste,Itaberaba,293280,Utinga,77.09923664122137,78.33935018050542,75.18518518518519,68.89763779527559,59.01060070671378,63.56275303643725,66.01941747572816,63.56275303643725,60.3921568627451,53.78486055776892,66.58539514780179,53.535353535353536
Centro Leste,Itaberaba,293340,Wagner,76.64233576642336,72.12121212121212,72.0,62.7906976744186,55.833333333333336,61.71875,63.829787234042556,63.2,58.119658119658126,65.45454545454545,65.17103197036336,62.92134831460674
Centro Leste,Seabra,290010,Abaíra,46.42857142857143,44.827586206896555,38.18181818181819,41.81818181818181,51.02040816326531,28.125,40.816326530612244,31.818181818181817,20.0,24.489795918367346,36.75258700658947,16.27906976744186
Centro Leste,Seabra,290400,Boninal,58.88888888888889,64.82758620689654,56.14035087719298,47.43589743589743,54.794520547945204,52.46913580246913,49.34210526315789,46.666666666666664,44.89795918367347,44.751381215469614,52.021449208825786,45.85987261146497
Centro Leste,Seabra,291300,Ibitiara,69.14285714285714,63.793103448275865,67.51592356687898,56.25,57.065217391304344,42.24598930481284,47.72727272727273,43.712574850299404,45.033112582781456,45.39007092198582,53.787612193646865,31.48148148148148
