Unnamed: 0,Unnamed: 1,Nº,%,Unnamed: 4,Nº.1,%.1,Unnamed: 7,Nº.2,%.2,Unnamed: 10,Nº.3,%.3,Unnamed: 13,Nº.4,%.4,Unnamed: 16,Nº.5,%.5,Unnamed: 19,Nº.6,%.6
290687,Capim Grosso,124.0,90.5109489051095,,128.0,80.5031446540881,,137.0,81.0650887573965,,118.0,76.6233766233766,,143.0,80.3370786516854,,131.0,76.1627906976744,,123.0,70.2857142857143
291750,Jacobina,369.0,78.0126849894292,,389.0,83.6559139784946,,365.0,72.8542914171657,,438.0,79.3478260869565,,390.0,70.3971119133574,,396.0,73.6059479553903,,381.0,74.559686888454
292010,Mairi,114.0,92.6829268292683,,119.0,88.8059701492537,,117.0,81.25,,118.0,84.8920863309353,,103.0,90.3508771929825,,120.0,82.1917808219178,,92.0,69.1729323308271
292120,Miguel Calmon,134.0,80.2395209580838,,110.0,63.2183908045977,,143.0,71.5,,152.0,76.0,,146.0,81.5642458100559,,142.0,74.7368421052632,,112.0,72.7272727272727
292140,Mirangaba,58.0,85.2941176470588,,50.0,60.2409638554217,,41.0,66.1290322580645,,59.0,67.816091954023,,51.0,61.4457831325301,,51.0,60.7142857142857,,35.0,68.6274509803922
292170,Morro do Chapéu,137.0,67.487684729064,,126.0,65.2849740932643,,166.0,87.8306878306878,,191.0,89.2523364485981,,205.0,89.1304347826087,,203.0,95.3051643192488,,194.0,90.6542056074766
292335,Ourolândia,62.0,91.1764705882353,,62.0,79.4871794871795,,46.0,68.6567164179104,,61.0,64.2105263157895,,45.0,56.25,,43.0,62.3188405797101,,52.0,65.8227848101266
292480,Piritiba,66.0,52.8,,75.0,60.4838709677419,,87.0,67.4418604651163,,71.0,57.258064516129,,87.0,60.4166666666667,,99.0,75.5725190839695,,100.0,68.9655172413793
292593,Quixabeira,39.0,66.1016949152542,,24.0,60.0,,17.0,45.945945945946,,26.0,53.0612244897959,,33.0,70.2127659574468,,29.0,76.3157894736842,,34.0,97.1428571428571
292937,São José do Jacuípe,24.0,55.8139534883721,,35.0,63.6363636363636,,36.0,62.0689655172414,,43.0,76.7857142857143,,34.0,60.7142857142857,,29.0,52.7272727272727,,36.0,69.2307692307692
292980,Saúde,54.0,84.375,,60.0,76.9230769230769,,69.0,87.3417721518987,,71.0,88.75,,82.0,88.1720430107527,,77.0,89.5348837209302,,51.0,91.0714285714286
293060,Serrolândia,58.0,82.8571428571429,,51.0,65.3846153846154,,63.0,77.7777777777778,,57.0,68.6746987951807,,69.0,82.1428571428571,,63.0,75.0,,51.0,69.8630136986301
293130,Tapiramutá,77.0,93.9024390243902,,66.0,95.6521739130435,,63.0,88.7323943661972,,63.0,81.8181818181818,,63.0,87.5,,68.0,90.6666666666667,,82.0,91.1111111111111
293245,Umburanas,35.0,66.0377358490566,,22.0,45.8333333333333,,28.0,63.6363636363636,,33.0,70.2127659574468,,39.0,84.7826086956522,,24.0,55.8139534883721,,42.0,73.6842105263158
293305,Várzea da Roça,57.0,90.4761904761905,,50.0,70.4225352112676,,54.0,69.2307692307692,,58.0,77.3333333333333,,60.0,77.9220779220779,,58.0,61.0526315789474,,45.0,68.1818181818182
293310,Várzea do Poço,41.0,68.3333333333333,,25.0,45.4545454545455,,30.0,51.7241379310345,,32.0,58.1818181818182,,29.0,50.0,,36.0,61.0169491525424,,30.0,68.1818181818182
293315,Várzea Nova,36.0,67.9245283018868,,42.0,63.6363636363636,,34.0,47.887323943662,,54.0,80.5970149253731,,31.0,63.265306122449,,52.0,85.2459016393443,,56.0,83.5820895522388
2903,Extremo Sul,3715.0,90.3233649404328,,3850.0,90.5243357629908,,3985.0,90.7538146208153,,3971.0,90.1680290644868,,4114.0,91.5035587188612,,4116.0,89.4393741851369,,4245.0,88.8075313807531
29031,Região de Porto Seguro,1703.0,95.0334821428571,,1738.0,95.5470038482683,,1800.0,94.5378151260504,,1832.0,95.5161626694473,,1981.0,96.2117532782904,,1951.0,95.5903968642822,,2009.0,92.7944572748268
290340,Belmonte,135.0,95.7446808510638,,128.0,96.969696969697,,138.0,95.8333333333333,,131.0,99.2424242424242,,146.0,95.4248366013072,,156.0,96.2962962962963,,118.0,90.0763358778626
291072,Eunápolis,594.0,93.9873417721519,,628.0,97.2136222910217,,634.0,96.3525835866261,,591.0,97.6859504132231,,612.0,99.1896272285251,,638.0,97.4045801526718,,701.0,97.768479776848
291180,Guaratinga,88.0,92.6315789473684,,83.0,93.2584269662921,,79.0,89.7727272727273,,87.0,97.752808988764,,85.0,100.0,,76.0,95.0,,73.0,97.3333333333333
291465,Itabela,139.0,94.5578231292517,,140.0,95.2380952380952,,149.0,87.6470588235294,,199.0,93.8679245283019,,214.0,98.1651376146789,,185.0,96.3541666666667,,198.0,98.019801980198
291530,Itagimirim,37.0,84.0909090909091,,34.0,65.3846153846154,,27.0,75.0,,33.0,58.9285714285714,,32.0,62.7450980392157,,42.0,75.0,,40.0,70.1754385964912
291630,Itapebi,43.0,89.5833333333333,,76.0,96.2025316455696,,43.0,89.5833333333333,,62.0,95.3846153846154,,48.0,94.1176470588235,,60.0,86.9565217391304,,73.0,86.9047619047619
292530,Porto Seguro,558.0,97.723292469352,,535.0,96.5703971119134,,607.0,96.3492063492064,,596.0,96.2843295638126,,697.0,95.3488372093023,,645.0,96.1251862891207,,709.0,89.6333754740834
292770,Santa Cruz Cabrália,109.0,95.6140350877193,,114.0,95.0,,123.0,94.6153846153846,,133.0,95.0,,147.0,96.078431372549,,149.0,95.5128205128205,,97.0,89.8148148148148
29032,Região de Teixeira de Freitas,2012.0,86.6867729426971,,2112.0,86.7707477403451,,2185.0,87.8568556493768,,2139.0,86.0418342719228,,2133.0,87.5256462864177,,2165.0,84.5372901210465,,2236.0,85.5066921606118
290080,Alcobaça,77.0,71.2962962962963,,100.0,77.5193798449613,,93.0,76.8595041322314,,102.0,83.6065573770492,,111.0,84.7328244274809,,90.0,81.8181818181818,,120.0,90.9090909090909
290690,Caravelas,100.0,99.009900990099,,110.0,94.8275862068966,,88.0,93.6170212765958,,80.0,86.9565217391304,,90.0,90.0,,101.0,90.990990990991,,76.0,76.7676767676768
291280,Ibirapuã,35.0,94.5945945945946,,54.0,96.4285714285714,,43.0,82.6923076923077,,39.0,86.6666666666667,,40.0,88.8888888888889,,61.0,92.4242424242424,,54.0,91.5254237288136
291560,Itamaraju,336.0,85.9335038363171,,342.0,82.6086956521739,,358.0,87.1046228710462,,317.0,81.2820512820513,,318.0,83.6842105263158,,353.0,84.0476190476191,,343.0,87.5
291600,Itanhém,118.0,90.7692307692308,,134.0,89.9328859060403,,110.0,83.969465648855,,120.0,85.7142857142857,,111.0,95.6896551724138,,114.0,87.0229007633588,,124.0,90.5109489051095
291845,Jucuruçu,25.0,55.5555555555556,,15.0,48.3870967741936,,25.0,54.3478260869565,,37.0,67.2727272727273,,29.0,67.4418604651163,,25.0,59.5238095238095,,31.0,62.0
291890,Lajedão,21.0,84.0,,33.0,97.0588235294118,,24.0,96.0,,19.0,82.6086956521739,,13.0,92.8571428571429,,31.0,96.875,,25.0,89.2857142857143
292110,Medeiros Neto,138.0,95.8333333333333,,124.0,95.3846153846154,,166.0,98.2248520710059,,162.0,98.1818181818182,,141.0,96.5753424657534,,148.0,91.9254658385093,,197.0,97.0443349753695
292200,Mucuri,168.0,93.3333333333333,,152.0,94.4099378881988,,179.0,92.7461139896373,,150.0,90.9090909090909,,139.0,91.4473684210526,,182.0,93.3333333333333,,157.0,88.2022471910112
292300,Nova Viçosa,177.0,92.1875,,172.0,91.9786096256685,,196.0,90.3225806451613,,206.0,91.1504424778761,,172.0,85.5721393034826,,183.0,82.4324324324324,,202.0,85.2320675105485
292550,Prado,104.0,77.037037037037,,91.0,82.7272727272727,,108.0,90.0,,96.0,73.2824427480916,,111.0,76.027397260274,,114.0,77.5510204081633,,104.0,74.8201438848921
293135,Teixeira de Freitas,679.0,86.1675126903553,,759.0,86.5450399087799,,779.0,87.9232505643341,,791.0,87.5,,841.0,89.1834570519618,,727.0,82.707622298066,,778.0,83.4763948497854
293325,Vereda,34.0,75.5555555555556,,26.0,65.0,,16.0,72.7272727272727,,20.0,71.4285714285714,,17.0,85.0,,36.0,80.0,,25.0,86.2068965517241
2904,Leste,24101.0,96.0275719180811,,24086.0,95.2542909119671,,24343.0,94.8268474153714,,24240.0,95.1932139491046,,25421.0,96.0333950360772,,25759.0,94.7684044001324,,23493.0,90.0425434057721
29041,Região de Camaçari,2504.0,95.3178530643319,,2533.0,95.0825825825826,,2685.0,95.6196581196581,,2623.0,95.036231884058,,2947.0,96.5280052407468,,2872.0,95.6695536309127,,2672.0,88.6529528865295
290570,Camaçari,1051.0,96.5992647058823,,1064.0,96.289592760181,,1118.0,96.5457685664939,,1133.0,95.1301427371956,,1278.0,97.7811782708493,,1266.0,96.127562642369,,1248.0,90.2386117136659
290860,Conde,95.0,81.1965811965812,,110.0,84.6153846153846,,92.0,83.6363636363636,,106.0,84.1269841269841,,116.0,90.625,,104.0,89.6551724137931,,76.0,76.7676767676768
291005,Dias d'Ávila,317.0,95.7703927492447,,298.0,94.9044585987261,,342.0,95.7983193277311,,332.0,97.6470588235294,,360.0,94.9868073878628,,352.0,96.969696969697,,324.0,89.2561983471074
292100,Mata de São João,220.0,91.6666666666667,,256.0,95.1672862453532,,242.0,93.7984496124031,,222.0,95.6896551724138,,258.0,94.8529411764706,,230.0,95.0413223140496,,250.0,90.9090909090909
292520,Pojuca,163.0,95.3216374269006,,180.0,95.2380952380952,,179.0,98.3516483516484,,169.0,98.2558139534884,,209.0,92.4778761061947,,202.0,94.8356807511737,,164.0,82.0
293070,Simões Filho,658.0,96.7647058823529,,625.0,95.1293759512938,,712.0,95.8277254374159,,661.0,94.5636623748212,,726.0,97.9757085020243,,718.0,95.6058588548602,,610.0,87.8962536023055
29042,Região de Cruz das Almas,1337.0,89.8521505376344,,1310.0,88.2749326145553,,1385.0,90.4046997389034,,1495.0,94.3813131313131,,1507.0,93.6606587942822,,1536.0,92.8657799274486,,1438.0,87.8973105134474
290485,Cabaceiras do Paraguaçu,85.0,95.5056179775281,,90.0,89.1089108910891,,92.0,93.8775510204082,,95.0,96.9387755102041,,93.0,95.8762886597938,,102.0,94.4444444444444,,71.0,88.75
290490,Cachoeira,201.0,94.811320754717,,171.0,95.0,,202.0,94.8356807511737,,193.0,96.9849246231156,,191.0,92.2705314009662,,226.0,92.2448979591837,,217.0,95.5947136563877
290820,Conceição da Feira,84.0,89.3617021276596,,107.0,92.2413793103448,,112.0,94.9152542372881,,106.0,90.5982905982906,,112.0,91.0569105691057,,103.0,85.1239669421488,,111.0,79.8561151079137
290980,Cruz das Almas,296.0,89.4259818731118,,313.0,88.9204545454545,,327.0,97.0326409495549,,380.0,95.7178841309824,,353.0,93.8829787234042,,351.0,91.40625,,334.0,83.2917705735661
291160,Governador Mangabeira,86.0,84.3137254901961,,88.0,81.4814814814815,,111.0,89.5161290322581,,114.0,91.9354838709677,,126.0,91.970802919708,,138.0,93.8775510204082,,102.0,85.7142857142857
292060,Maragogipe,234.0,79.3220338983051,,192.0,75.5905511811024,,207.0,71.6262975778547,,245.0,93.5114503816794,,261.0,94.9090909090909,,248.0,95.0191570881226,,243.0,89.6678966789668
292230,Muritiba,172.0,97.1751412429379,,180.0,96.2566844919786,,171.0,96.0674157303371,,163.0,97.0238095238095,,166.0,95.4022988505747,,186.0,97.8947368421053,,184.0,92.0
292900,São Félix,65.0,95.5882352941177,,71.0,89.873417721519,,59.0,95.1612903225807,,92.0,96.8421052631579,,85.0,91.3978494623656,,80.0,89.8876404494382,,50.0,80.6451612903226
292960,Sapeaçu,114.0,95.0,,98.0,91.588785046729,,104.0,92.0353982300885,,107.0,86.2903225806452,,120.0,94.488188976378,,102.0,93.5779816513761,,126.0,91.970802919708
29043,Região de Salvador,17794.0,97.2456006120888,,17807.0,96.7140995003259,,17777.0,95.832884097035,,17738.0,96.3969349491875,,18478.0,96.8753276711754,,18812.0,95.8866405015546,,16850.0,90.7084409991387
290650,Candeias,435.0,97.0982142857143,,435.0,96.4523281596452,,445.0,95.6989247311828,,450.0,97.1922246220302,,423.0,93.1718061674009,,466.0,94.331983805668,,448.0,91.4285714285714
291610,Itaparica,124.0,96.1240310077519,,121.0,94.53125,,143.0,97.2789115646258,,117.0,96.6942148760331,,129.0,92.8057553956834,,116.0,87.8787878787879,,125.0,85.0340136054422
291920,Lauro de Freitas,876.0,95.4248366013072,,1027.0,96.6133584195673,,971.0,95.3831041257367,,986.0,94.5349952061361,,1180.0,96.2479608482871,,1130.0,96.3341858482523,,1068.0,92.2279792746114
291992,Madre de Deus,96.0,100.0,,88.0,97.7777777777778,,97.0,94.1747572815534,,89.0,95.6989247311828,,94.0,98.9473684210526,,104.0,95.4128440366973,,98.0,92.4528301886792
