Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2012,2013,2014,2015,2016,2017,2018,2019,2020**,MÉDIA
Sudoeste,Vitória da Conquista,290870,Condeúba,100,100,85.7,66.7,100.0,100,75,100.0,0.0,80.82222222222222
Sudoeste,Brumado,290880,Contendas do Sincorá,-,0,0.0,66.7,0.0,0,0,0.0,0.0,8.3375
Centro Leste,Feira de Santana,290890,Coração de Maria,16.7,100,70.0,0.0,100.0,100,100,40.0,100.0,69.63333333333334
Sudoeste,Vitória da Conquista,290900,Cordeiros,-,0,100.0,75.0,100.0,100,100,0.0,100.0,71.875
Oeste,Santa Maria da Vitória,290910,Coribe,-,100,100.0,0.0,0.0,80,0,66.7,0.0,43.3375
Nordeste,Ribeira do Pombal,290920,Coronel João Sá,-,0,0.0,0.0,0.0,0,100,20.0,0.0,15.0
Oeste,Santa Maria da Vitória,290930,Correntina,33.3,0,100.0,100.0,0.0,33.3,40,100.0,0.0,45.17777777777778
Oeste,Barreiras,290940,Cotegipe,-,0,50.0,100.0,0.0,0,0,0.0,100.0,31.25
Sul,Jequié,290950,Cravolândia,69.2,0,100.0,0.0,0.0,0,0,0.0,0.0,18.799999999999997
Nordeste,Alagoinhas,290960,Crisópolis,100,50,75.0,0.0,100.0,100,100,66.7,50.0,71.30000000000001
Oeste,Barreiras,290970,Cristópolis,-,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Leste,Cruz das Almas,290980,Cruz das Almas,66.7,96.4,92.0,66.7,66.7,80,63.6,80.0,100.0,79.12222222222222
Norte,Juazeiro,290990,Curaçá,100,100,100.0,66.7,0.0,0,0,100.0,75.0,60.1888888888889
Sul,Jequié,291000,Dário Meira,-,100,0.0,100.0,100.0,100,100,0.0,0.0,62.5
Leste,Camaçari,291005,Dias d'Ávila,62.5,64.3,57.1,70.0,50.0,36.4,50,70.6,80.0,60.099999999999994
Sudoeste,Brumado,291010,Dom Basílio,100,50,33.3,0.0,100.0,100,0,100.0,0.0,53.7
Leste,Santo Antônio de Jesus,291020,Dom Macedo Costa,-,0,100.0,0.0,100.0,100,0,0.0,0.0,37.5
Leste,Santo Antônio de Jesus,291030,Elísio Medrado,-,100,0.0,0.0,100.0,100,100,0.0,0.0,50.0
Sudoeste,Vitória da Conquista,291040,Encruzilhada,50,50,63.6,100.0,100.0,100,66.7,100.0,100.0,81.14444444444445
Nordeste,Alagoinhas,291050,Entre Rios,63.6,100,80.0,71.4,33.3,50,0,62.5,66.7,58.611111111111114
Sudoeste,Brumado,290050,Érico Cardoso,-,0,0.0,0.0,0.0,100,0,50.0,0.0,18.75
Nordeste,Alagoinhas,291060,Esplanada,83.3,54.5,69.2,33.3,0.0,0,66.7,0.0,0.0,34.111111111111114
Centro Leste,Serrinha,291070,Euclides da Cunha,100,100,100.0,100.0,100.0,75,33.3,66.7,0.0,75.0
Extremo Sul,Porto Seguro,291072,Eunápolis,66.7,69.2,86.4,75.0,88.9,80,100,95.2,100.0,84.60000000000001
Nordeste,Ribeira do Pombal,291075,Fátima,50,0,100.0,0.0,0.0,0,0,0.0,0.0,16.666666666666668
Sudoeste,Guanambi,291077,Feira da Mata,-,100,0.0,0.0,0.0,0,0,0.0,100.0,25.0
Centro Leste,Feira de Santana,291080,Feira de Santana,89.2,92.9,96.7,91.5,83.6,86,81.8,75.1,65.5,84.69999999999999
Norte,Senhor do Bonfim,291085,Filadélfia,100,100,100.0,0.0,0.0,0,0,66.7,0.0,40.74444444444444
Sudoeste,Itapetinga,291090,Firmino Alves,-,0,100.0,0.0,0.0,100,100,0.0,0.0,37.5
Sul,Itabuna,291100,Floresta Azul,-,100,50.0,0.0,0.0,0,100,0.0,0.0,31.25
