Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,1º VIG 2015 %,2º VIG 2015 %,1º VIG 2016 %,2º VIG 2016 %,1º VIG 2017 %,2º VIG 2017 %,1º VIG 2018 %,2º VIG 2018 %,1º VIG 2019 %,2º VIG 2019 %,1º VIG 2020 %,2º VIG 2020 %
Centro Norte,Irecê,291310,Ibititá,76.3,79.16,72.37,76.99,73.87,85.77," 78,19",48.09,"76,09","85,48",30.210000000000004,25.66
Oeste,Ibotirama,291320,Ibotirama,80.3,82.96,80.23,80.83,80.96,80.82," 79,06",85.96,"86,33","84,33",21.67,26.91
Centro Leste,Feira de Santana,291330,Ichu,90.1,92.24,84.3,81.45,81.18,94.08," 87,29",94.96,"93,31","94,90",69.47,91.94
Sudoeste,Guanambi,291340,Igaporã,89.11,90.71,87.88,89.72,90.52,89.76," 88,38",91.02,"85,61","88,22",74.84,47.55
Sul,Valença,291345,Igrapiúna,77.05,79.65,74.62,59.52,64.57,61.42," 59,43",81.9,"77,95","80,01",71.62,64.36
Sudoeste,Itapetinga,291350,Iguaí,94.59,88.73,65.91,62.45,64.09,66.04," 61,72",57.75,"67,12","65,72",12.340000000000002,39.160000000000004
Sul,Ilhéus,291360,Ilhéus,36.68,45.67,46.85,45.66,74.24,87.12," 80,32",56.74,"69,02","70,44",21.03,9.99
Nordeste,Alagoinhas,291370,Inhambupe,83.73,84.38,70.86,64.67,91.03,79.66," 80,83",57.43,"65,55","76,17",43.12,29.82
Centro Leste,Feira de Santana,291380,Ipecaetá,93.36,94.61,89.78,85.56,93.8,93.56," 90,53",93.49,"94,02","94,46",89.1,85.13
Sul,Jequié,291390,Ipiaú,66.71,70.68,67.68,69.28,74.01,73.76," 72,98",75.93,"76,05","76,55",11.12,57.68
Centro Leste,Feira de Santana,291400,Ipirá,92.83,93.75,89.91,90.6,87.68,85.9," 87,78",87.16,"80,05","89,64",78.91,22.64
Oeste,Ibotirama,291410,Ipupiara,95.73,99.1,98.95,98.48,99.64,99.42," 97,29",87.02,"77,53","75,50",61.05,70.55
Sul,Jequié,291420,Irajuba,69.48,80.31,78.86,86.83,66.99,84.08," 69,65",84.41,"76,69","88,38",13.83,82.93
Sul,Jequié,291430,Iramaia,73.82,85.47,86.68,86.23,83.0,79.15," 73,31",65.58,"68,58","81,87",48.66,40.65
Centro Leste,Seabra,291440,Iraquara,86.91,83.89,40.43,77.73,78.01,84.08," 84,30",97.42,"92,36","87,41",28.250000000000004,28.7
Centro Leste,Feira de Santana,291450,Irará,88.41,88.31,82.23,89.04,82.02,87.58," 97,14",90.94,"93,40","91,87",23.6,20.560000000000002
Centro Norte,Irecê,291460,Irecê,73.59,69.53,65.97,67.11,69.99,71.8," 70,23",84.52,"80,93","86,15",53.45,35.64
Extremo Sul,Porto Seguro,291465,Itabela,67.67,69.63,65.61,57.46,62.94,94.12," 83,40",78.46,"78,40","77,80",42.18,62.660000000000004
Centro Leste,Itaberaba,291470,Itaberaba,91.6,91.94,91.97,81.86,82.84,82.47," 72,09",67.11,"66,86","82,49",75.3,77.66
Sul,Itabuna,291480,Itabuna,76.02,75.72,74.73,73.12,74.08,77.27," 84,84",73.49,"82,73","87,64",48.56,56.88999999999999
Sul,Ilhéus,291490,Itacaré,59.61,66.77,51.76,56.4,55.56,58.56," 59,93",62.45,"56,94","64,59",24.47,23.5
Centro Leste,Itaberaba,291500,Itaeté,77.82,87.26,80.11,81.66,77.52,77.63," 73,07",82.3,"75,91","76,97",11.03,11.85
Sul,Jequié,291510,Itagi,72.55,75.35,74.74,71.71,75.94,75.01," 71,92",80.26,"80,30","81,80",18.01,51.849999999999994
Sul,Jequié,291520,Itagibá,89.91,60.9,91.56,45.92,61.86,61.71," 61,54",59.33,"56,26","57,34",14.79,63.23
Extremo Sul,Porto Seguro,291530,Itagimirim,59.95,54.59,52.4,50.73,46.3,63.35," 63,42",64.7,"72,24","80,78",53.72,30.680000000000003
Centro Norte,Irecê,291535,Itaguaçu da Bahia,62.68,73.53,85.53,84.52,84.62,86.31," 83,92",86.85,"88,76","89,95",17.8,83.00999999999999
Sul,Itabuna,291540,Itaju do Colônia,78.2,80.0,85.61,95.16,100.0,27.13," 79,72",82.91,"69,09","89,90",59.650000000000006,20.41
Sul,Itabuna,291550,Itajuípe,76.11,81.8,71.56,80.88,75.99,82.1," 83,58",87.73,"87,23","88,95",32.220000000000006,52.5
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,56.91,60.41,85.55,75.3,54.1,92.21," 98,54",60.66,"56,33","58,62",28.74,32.11
Sul,Jequié,291570,Itamari,28.87,52.42,38.35,64.3,84.69,86.55," 83,91",84.57,"85,60","85,57",61.09,71.85000000000001
Sudoeste,Itapetinga,291580,Itambé,84.36,77.43,100.0,99.73,90.06,91.66," 87,10",85.05,"82,77","82,97",38.940000000000005,42.02
Nordeste,Alagoinhas,291590,Itanagra,80.69,86.23,84.96,71.49,88.17,87.67," 86,98",87.64,"90,38","91,84",33.540000000000006,89.47
Extremo Sul,Teixeira de Freitas,291600,Itanhém,84.62,88.5,91.06,81.79,89.53,82.77," 91,29",92.61,"94,05","94,86",41.88,43.37
Leste,Salvador,291610,Itaparica,71.27,74.8,73.74,58.44,75.12,72.69," 71,45",75.43,"77,19","79,80",5.36,25.069999999999997
Sul,Itabuna,291620,Itapé,91.54,93.67,86.82,93.23,88.7,95.82," 88,00",93.05,"91,00","92,35",84.89,83.71
Extremo Sul,Porto Seguro,291630,Itapebi,71.06,63.46,68.56,53.26,75.67,79.11," 84,47",69.61,"85,08","88,51",59.98,68.97999999999999
Sudoeste,Itapetinga,291640,Itapetinga,79.53,79.63,96.6,74.42,58.65,87.25," 83,29",60.36,"63,92","71,53",41.93,49.07
Nordeste,Alagoinhas,291650,Itapicuru,89.32,92.25,61.59,93.04,92.61,97.98," 91,43",78.88,"79,50","76,01",30.39,29.29
Sul,Itabuna,291660,Itapitanga,85.43,84.7,74.71,88.4,99.87,90.74," 90,12",71.14,"91,87","100,00",30.85,84.15
Sul,Jequié,291670,Itaquara,79.42,87.57,75.95,83.17,86.21,82.46," 88,21",90.28,"87,83","83,71",82.2,27.060000000000002
Sudoeste,Itapetinga,291680,Itarantim,82.35,83.22,71.71,76.88,83.29,74.57," 73,98",84.44,"83,22","88,00",28.860000000000003,47.55
Leste,Santo Antônio de Jesus,291685,Itatim,90.94,91.83,96.51,95.75,93.79,95.32," 93,99",97.48,"96,87","97,36",55.23,95.07
Sul,Jequié,291690,Itiruçu,85.12,88.21,82.6,86.33,87.98,89.93," 85,49",83.46,"73,99","81,22",33.73,39.81
Norte,Senhor do Bonfim,291700,Itiúba,84.9,88.46,82.88,80.54,87.4,89.06," 88,32",90.67,"90,41","99,88",40.97,85.05
Sudoeste,Itapetinga,291710,Itororó,76.83,69.31,82.14,66.91,69.51,71.49," 83,77",87.46,"89,95","91,79",59.64,66.66
Sudoeste,Brumado,291720,Ituaçu,86.46,90.37,90.46,87.14,90.0,84.48," 86,69",73.78,"60,31","92,06",43.4,48.51
Sul,Valença,291730,Ituberá,61.97,61.64,53.56,52.98,53.25,55.91," 71,55",79.08,"77,43","81,78",27.56,29.409999999999997
Sudoeste,Guanambi,291733,Iuiú,87.72,79.69,73.12,77.62,85.84,83.02," 91,66",87.42,"84,60","86,00",52.02,56.96
Oeste,Santa Maria da Vitória,291735,Jaborandi,94.57,96.23,92.37,93.37,92.13,92.98," 94,23",90.45,"56,90","91,78",79.41,68.06
Sudoeste,Guanambi,291740,Jacaraci,90.3,94.1,92.2,89.52,92.74,92.19," 94,77",95.79,"95,99","97,34",90.85,95.94
Centro Norte,Jacobina,291750,Jacobina,76.7,78.91,70.98,74.63,76.78,76.91," 76,28",80.0,"78,67","77,81",57.60000000000001,57.17
Sul,Jequié,291760,Jaguaquara,85.17,85.99,68.38,86.08,87.62,88.58," 88,39",75.53,"80,83","81,01",43.04,38.37
Norte,Senhor do Bonfim,291770,Jaguarari,99.03,82.02,97.68,98.0,93.45,96.2," 98,47",87.68,"89,51","98,36",39.2,47.92
Leste,Santo Antônio de Jesus,291780,Jaguaripe,92.32,94.23,96.54,83.42,79.73,84.51," 92,41",88.91,"87,26","86,91",32.480000000000004,35.949999999999996
Nordeste,Alagoinhas,291790,Jandaíra,93.74,91.55,90.35,93.49,94.55,98.51," 95,70",93.56,"93,06","92,64",36.95,84.28
Sul,Jequié,291800,Jequié,39.1,42.71,46.81,38.45,56.89,66.3," 70,32",56.63,"61,24","71,54",36.480000000000004,48.11
Norte,Paulo Afonso,291810,Jeremoabo,74.82,84.14,82.21,87.42,76.94,74.55," 74,78",99.31,"99,81","99,94",31.980000000000004,23.799999999999997
Leste,Santo Antônio de Jesus,291820,Jiquiriçá,70.24,84.27,79.95,67.81,83.27,83.76," 92,06",87.24,"87,44","93,79",73.26,88.01
Sul,Jequié,291830,Jitaúna,85.86,96.36,92.99,96.09,100.0,81.63," 95,74",53.39,"64,34","60,08",27.700000000000003,29.659999999999997
Centro Norte,Irecê,291835,João Dourado,76.56,84.06,71.07,75.31,74.39,74.08," 69,61 ",72.27,"73,15","78,80",43.88,32.14
