Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,1º VIG 2015 %,2º VIG 2015 %,1º VIG 2016 %,2º VIG 2016 %,1º VIG 2017 %,2º VIG 2017 %,1º VIG 2018 %,2º VIG 2018 %,1º VIG 2019 %,2º VIG 2019 %,1º VIG 2020 %,2º VIG 2020 %
Centro Leste,Seabra,290010,Abaíra,96.41,95.67,95.79,96.3,83.05,82.4,89.9,87.63,"86,55","79,62",53.71,79.06
Norte,Paulo Afonso,290020,Abaré,90.16,89.74,86.33,87.37,87.98,87.72," 78,42",85.32,"80,30","87,27",49.9,38.17
Nordeste,Alagoinhas,290030,Acajutiba,100.0,99.74,98.22,97.99,99.9,99.91," 98,78",82.7,"80,42","80,62",25.74,31.019999999999996
Nordeste,Ribeira do Pombal,290035,Adustina,81.24,83.91,83.76,81.09,86.03,86.46," 81,07",84.28,"84,78","87,43",62.39,26.82
Centro Leste,Serrinha,290040,Água Fria,91.76,90.27,85.48,88.69,87.59,84.89," 85,39",89.32,"90,19","88,98",35.78,43.46
Sul,Jequié,290060,Aiquara,86.15,90.57,75.69,80.51,80.1,77.39," 77,98",89.85,"87,74","90,17",27.68,30.09
Nordeste,Alagoinhas,290070,Alagoinhas,69.76,76.48,85.47,93.27,88.64,86.23," 90,60",86.79,"68,87","91,35",52.45000000000001,69.77
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,93.46,96.32,97.64,71.96,79.54,80.01," 79,69",59.76,"65,33","64,72",33.35,42.71
Sul,Itabuna,290090,Almadina,80.7,74.88,80.52,83.2,82.51,93.05," 94,87",91.4,"94,07","94,59",88.92,88.94999999999999
Leste,Santo Antônio de Jesus,290100,Amargosa,86.29,84.98,85.89,77.28,70.77,79.16," 71,18",86.58,"85,67","84,33",43.260000000000005,51.53
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,75.76,82.98,72.49,44.98,56.91,91.36, 100,77.06,"64,49","81,17",10.7,8.88
Centro Norte,Irecê,290115,América Dourada,51.52,57.69,39.89,78.26,80.64,78.1," 66,30",85.49,"83,99","86,28",30.81,39.71
Sudoeste,Vitória da Conquista,290120,Anagé,79.26,84.03,76.55,81.92,82.19,74.83," 84,79",88.7,"89,03","87,06",85.13000000000001,84.5
Centro Leste,Itaberaba,290130,Andaraí,72.28,78.01,80.82,85.92,85.76,84.57," 83,04",91.44,"86,90","87,73",46.03,53.56999999999999
Norte,Senhor do Bonfim,290135,Andorinha,77.88,87.09,85.31,99.75,71.41,84.26," 97,10",89.06,"92,99","84,89",32.79,30.919999999999998
Oeste,Barreiras,290140,Angical,71.33,72.07,92.59,75.31,72.8,72.45," 75,47",85.79,"81,50","80,67",36.620000000000005,28.67
Centro Leste,Feira de Santana,290150,Anguera,84.54,87.64,83.45,74.45,91.18,89.2," 87,33",91.55,"86,28","91,10",38.95,41.15
Nordeste,Ribeira do Pombal,290160,Antas,80.26,87.24,76.58,84.47,89.71,81.04," 86,32",88.6,"85,99","89,82",31.06,32.379999999999995
Centro Leste,Feira de Santana,290170,Antônio Cardoso,82.98,89.24,83.77,74.11,89.89,89.48," 86,54",90.36,"92,74","91,75",24.77,82.11
Norte,Senhor do Bonfim,290180,Antônio Gonçalves,86.79,88.77,90.67,98.91,98.53,96.57," 97,40 ",97.88,"99,09","97,87",31.24,73.24000000000001
Nordeste,Alagoinhas,290190,Aporá,97.01,98.13,99.41,94.35,99.73,99.86," 95,49",95.37,"84,92","83,02",23.44,33.51
Sul,Jequié,290195,Apuarema,85.47,96.69,87.28,59.64,73.8,66.79," 63,64",66.57,"78,30","80,12",64.92,31.16
Nordeste,Alagoinhas,290205,Araçás,62.08,72.74,70.15,86.8,87.12,87.56," 90,19",88.51,"86,51","90,07",35.980000000000004,35.589999999999996
Sudoeste,Brumado,290200,Aracatu,97.97,97.3,97.66,97.97,97.58,96.56," 98,09",98.17,"97,59","96,98",95.77,96.28999999999999
Centro Leste,Serrinha,290210,Araci,82.9,84.57,53.9,77.92,79.29,80.92," 77,33",73.2,"61,88","87,06",33.93,21.95
Nordeste,Alagoinhas,290220,Aramari,71.48,63.01,61.4,69.23,100.0,91.02," 99,94",79.69,"74,44","87,82",22.48,20.64
Sul,Ilhéus,290225,Arataca,81.51,83.85,59.79,85.11,84.75,85.39," 85,12",87.05,"87,34","87,96",24.12,25.569999999999997
Leste,Santo Antônio de Jesus,290230,Aratuípe,86.39,87.57,86.65,95.34,87.84,84.06," 84,45",90.0,"88,39","81,96",82.59,82.28
Sul,Itabuna,290240,Aurelino Leal,77.0,77.67,72.3,79.48,83.5,81.69," 80,39",81.39,"79,46","84,59",27.22,79.99000000000001
Oeste,Barreiras,290250,Baianópolis,81.94,80.93,76.5,75.54,75.98,75.14," 72,02",80.44,"79,27","81,71",34.300000000000004,79.16
Centro Leste,Feira de Santana,290260,Baixa Grande,76.82,77.29,74.37,81.85,81.57,77.91," 80,22",73.53,"85,69","85,96",17.69,47.49
Nordeste,Ribeira do Pombal,290265,Banzaê,84.36,76.74,83.48,84.2,78.1,85.29," 85,65",95.05,"88,64","89,47",15.15,29.07
Oeste,Ibotirama,290270,Barra,84.15,85.76,76.57,86.97,90.3,87.22," 85,05",75.87,"80,84","82,40",39.14,74.2
Sudoeste,Brumado,290280,Barra da Estiva,86.56,91.33,84.73,86.43,99.69,99.37," 99,54",91.48,"99,38","98,56",96.59,92.93
Sudoeste,Vitória da Conquista,290290,Barra do Choça,82.99,88.34,91.01,73.15,80.44,83.52," 77,22",82.39,"89,69","84,95",44.99,63.870000000000005
Centro Norte,Irecê,290300,Barra do Mendes,40.69,90.57,86.65,79.08,75.58,84.58," 81,51",66.12,"93,47","90,68",90.67,98.2
Sul,Jequié,290310,Barra do Rocha,87.97,92.01,76.32,98.22,81.92,79.92," 72,84",83.78,"96,23","96,51",38.61,47.04
Oeste,Barreiras,290320,Barreiras,83.01,99.55,97.09,47.79,57.67,78.0," 86,40",80.05,"78,41","81,22",52.45000000000001,52.290000000000006
Centro Norte,Irecê,290323,Barro Alto,49.15,61.91,66.65,93.0,84.32,99.41," 89,28",92.4,"95,32","99,87",41.63,42.93
Sul,Itabuna,290330,Barro Preto,97.03,96.65,77.2,87.05,91.49,91.04," 85,20",74.55,"83,07","82,32",40.75,46.02
Centro Leste,Serrinha,290327,Barrocas,89.11,83.62,82.01,76.9,84.93,89.89," 91,35",94.58,"95,71","95,62",60.830000000000005,77.92
Extremo Sul,Porto Seguro,290340,Belmonte,96.9,88.94,90.52,89.59,92.05,92.48," 90,23",93.42,"93,64","95,96",57.54,35.63
Sudoeste,Vitória da Conquista,290350,Belo Campo,87.67,85.94,90.08,79.44,84.3,81.77," 83,16",90.03,"84,56","86,76",65.31,60.480000000000004
Centro Leste,Serrinha,290360,Biritinga,79.95,82.97,76.47,91.41,91.78,89.84," 81,83",90.32,"84,92","85,86",34.57,75.13
Sul,Jequié,290370,Boa Nova,92.25,91.93,92.36,84.9,90.59,92.48, 100,85.86,"85,17","85,37",38.3,45.1
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,80.98,83.24,57.09,83.44,83.59,92.7," 93,72",78.31,"97,69","86,40",20.19,95.57
Oeste,Santa Maria da Vitória,290390,Bom Jesus da Lapa,91.58,91.13,90.73,83.08,80.87,81.77," 84,04",89.13,"88,02","89,36",84.49,82.39999999999999
Sudoeste,Vitória da Conquista,290395,Bom Jesus da Serra,84.42,80.44,80.39,88.36,72.81,72.05," 70,94",75.06,"77,82","85,56",29.350000000000005,34.65
Centro Leste,Seabra,290400,Boninal,89.49,87.96,88.12,86.27,85.5,89.57," 89,49",92.67,"90,77","91,90",58.82000000000001,77.27000000000001
Centro Leste,Itaberaba,290405,Bonito,88.36,88.4,81.44,84.98,81.3,83.33," 77,17",86.5,"82,14","80,93",46.67,16.56
Sudoeste,Brumado,290410,Boquira,83.71,86.94,86.37,100.0,70.68,37.75," 38,41",81.7,"87,25","88,15",24.05,75.94999999999999
Sudoeste,Brumado,290420,Botuporã,39.89,100.0,46.79,90.24,96.57,100.0," 95,92",94.87,"94,35","93,73",89.05000000000001,89.74
Sul,Jequié,290430,Brejões,88.12,89.47,88.2,74.95,79.07,78.73," 76,35",88.19,"85,70","86,52",35.870000000000005,40.25
Oeste,Barreiras,290440,Brejolândia,64.49,83.43,76.14,62.95,82.43,84.63," 88,17",88.63,"83,12","89,75",57.16,7.24
Oeste,Ibotirama,290450,Brotas de Macaúbas,77.37,78.09,81.07,92.94,94.12,93.95," 93,35",94.92,"94,57","94,25",41.31,37.29
Sudoeste,Brumado,290460,Brumado,94.94,94.49,93.25,78.18,92.08,71.45," 71,45",80.6,"79,20","77,83",26.040000000000003,28.48
Sul,Itabuna,290470,Buerarema,76.35,90.87,83.16,90.57,83.33,94.49," 94,21",81.36,"84,76","88,35",38.21,40.32
Oeste,Ibotirama,290475,Buritirama,92.5,94.62,91.41,88.21,89.58,89.07," 91,20",89.21,"87,19","93,20",28.08,31.830000000000002
Sudoeste,Itapetinga,290480,Caatiba,88.72,87.7,87.87,98.63,99.3,98.42," 37,78",74.07,"78,10","81,08",30.970000000000002,66.43
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,90.64,96.57,99.55,100.0,100.0,88.62," 99,21",99.94,"98,33","99,97",99.9,39.87
Leste,Cruz das Almas,290490,Cachoeira,99.39,99.65,95.42,65.47,62.85,59.69," 70,81",71.44,"68,94","69,64",56.88,64.64999999999999
Sudoeste,Guanambi,290500,Caculé,74.88,80.38,70.52,77.53,81.49,83.99," 90,90",94.36,"94,24","90,61",44.89,45.129999999999995
Centro Norte,Jacobina,290510,Caém,88.7,91.24,81.42,84.79,82.18,71.21," 70,13",81.56,"64,44","68,34",40.98,43.47
Sudoeste,Vitória da Conquista,290515,Caetanos,76.06,81.23,86.55,84.62,83.36,85.33," 99,41",82.86,"91,57","95,30",43.4,85.68
Sudoeste,Guanambi,290520,Caetité,84.08,85.0,84.99,91.64,93.4,94.87," 94,70",94.66,"94,31","95,25",39.11,29.73
Centro Norte,Irecê,290530,Cafarnaum,98.45,92.07,91.38,77.67,81.44,84.58," 85,15",87.21,"82,70","87,56",30.870000000000005,36.95
Sul,Valença,290540,Cairu,77.32,80.72,77.7,83.15,81.17,90.57," 74,86",81.13,"68,19","82,85",16.590000000000003,52.580000000000005
Centro Norte,Jacobina,290550,Caldeirão Grande,88.65,98.09,94.67,70.64,64.26,72.52," 67,09",75.38,"74,63","75,39",32.85,67.25999999999999
Sul,Itabuna,290560,Camacan,82.16,84.2,81.19,80.73,95.22,94.41," 96,68",97.99,"98,54","97,30",35.78,40.699999999999996
Leste,Camaçari,290570,Camaçari,81.48,89.37,73.24,38.96,46.04,47.35," 58,42",51.1,"47,25","47,84",13.670000000000002,25.85
Sul,Valença,290580,Camamu,23.51,27.72,36.4,57.7,68.8,70.83," 94,06",60.85,"75,29","99,60",68.33,62.82
Norte,Juazeiro,290590,Campo Alegre de Lourdes,68.99,79.69,16.11,91.32,89.94,94.46," 93,39",91.05,"90,65","90,28",25.56,33.31
Norte,Senhor do Bonfim,290600,Campo Formoso,93.26,94.0,90.97,96.13,96.38,90.49," 92,88",81.82,"79,05","85,40",52.53,62.13999999999999
Oeste,Santa Maria da Vitória,290610,Canápolis,94.45,93.65,89.85,81.7,82.26,71.63," 77,49",83.15,"83,31","80,44",77.5,66.43
Centro Norte,Irecê,290620,Canarana,83.07,84.19,78.2,86.51,91.87,78.66," 92,56",90.18,"58,71","87,27",87.06,80.67999999999999
Sul,Ilhéus,290630,Canavieiras,87.64,90.99,82.89,53.68,97.85,74.94," 84,11",58.44,"63,26","61,24",35.07,40.5
Centro Leste,Feira de Santana,290640,Candeal,64.57,57.8,55.83,83.77,81.37,86.07," 86,23",88.06,"90,66","93,96",90.3,47.32
Leste,Salvador,290650,Candeias,86.36,85.86,77.86,76.73,74.28,71.67," 74,82",87.07,"86,49","92,57",59.38,56.65
Sudoeste,Guanambi,290660,Candiba,78.62,81.07,77.38,76.04,75.33,73.28," 65,37",79.74,"71,93","69,52",17.24,42.46
Sudoeste,Vitória da Conquista,290670,Cândido Sales,78.48,79.81,83.9,81.23,87.92,83.51," 82,22",86.29,"82,39","82,21",62.62,74.91
Centro Leste,Serrinha,290680,Cansanção,84.7,86.22,79.72,93.97,96.25,96.01," 99,41",96.56,"96,03","98,24",93.33,99.5
Norte,Juazeiro,290682,Canudos,84.75,89.27,93.53,94.08,100.0,90.77," 88,02",85.45,"86,23","87,40",29.87,31.53
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,99.52,99.25,97.25,85.31,88.71,77.91," 83,83",86.63,"79,37","82,34",30.049999999999997,79.21000000000001
Centro Norte,Jacobina,290687,Capim Grosso,82.8,87.18,84.44,70.27,79.05,84.03," 71,62",70.42,"73,61","75,02",24.5,29.69
Sudoeste,Vitória da Conquista,290689,Caraíbas,59.63,77.53,68.55,99.81,79.33,100.0," 80,23",91.36,"85,42","94,97",84.15,86.29
Extremo Sul,Teixeira de Freitas,290690,Caravelas,92.17,59.0,99.77,36.68,55.34,52.1," 62,44",78.11,"75,39","79,13",66.52,79
Nordeste,Alagoinhas,290700,Cardeal da Silva,53.59,55.9,55.02,93.89,90.8,83.77," 83,49",79.99,"83,93","89,72",68.72,83.02000000000001
Sudoeste,Guanambi,290710,Carinhanha,96.1,94.71,94.05,87.4,88.18,89.9," 86,96",80.13,"82,85","83,03",52.970000000000006,68.63
Norte,Juazeiro,290720,Casa Nova,94.73,94.32,92.48,80.75,82.4,89.34," 91,94",76.06,"87,14","83,42",56.73,58.07
Leste,Santo Antônio de Jesus,290730,Castro Alves,63.05,68.99,68.73,90.51,93.15,89.54," 95,50",75.72,"86,98","93,54",36.61000000000001,44.31
Oeste,Barreiras,290740,Catolândia,90.64,89.65,85.95,88.35,88.98,88.82," 87,38",70.72,"78,93","87,07",77.25000000000001,75.17
Nordeste,Alagoinhas,290750,Catu,89.68,90.83,89.63,82.46,87.35,84.23," 82,02",89.73,"86,50","87,96",44.16,78.02
Sudoeste,Brumado,290755,Caturama,81.35,84.82,83.46,94.87,94.05,93.95," 92,29",89.63,"85,12","79,67",80.94,81.21000000000001
Centro Norte,Irecê,290760,Central,93.49,94.3,94.86,84.06,88.59,82.62," 83,92",84.32,"83,92","84,60",27.9,51.05
