Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,Unnamed: 5,2011,Unnamed: 7,2012,Unnamed: 9,2013,Unnamed: 11,2014,Unnamed: 13,2015,Unnamed: 15,2016,Unnamed: 17,2017,Unnamed: 19,2018,Unnamed: 21,2019,Unnamed: 23,2020,Unnamed: 25
Centro Leste,Itaberaba,292285,Nova Redenção,2,66.67,4,100,0,0,4,100,7,100,1,100,5,100,4,100,0,0,4,80,4,100
Centro Leste,Itaberaba,292720,Ruy Barbosa,4,100,4,100,6,100,5,83.33,3,100,6,100,10,100,6,100,13,100,8,100,62,100
Centro Leste,Itaberaba,293280,Utinga,1,100,5,100,5,100,8,100,5,100,4,80,4,100,3,100,0,0,4,100,14,100
Centro Leste,Itaberaba,293340,Wagner,1,100,1,100,0,0,1,100,7,100,1,100,1,100,0,0,2,100,2,100,1,100
Centro Leste,Seabra,290010,Abaíra,0,0,0,0,0,0,0,0,4,100,1,100,3,100,0,0,1,50,2,100,0,0
Centro Leste,Seabra,290400,Boninal,2,100,7,100,0,0,1,100,1,100,-,0,1,100,2,100,1,100,3,100,3,100
Centro Leste,Seabra,291300,Ibitiara,0,0,0,0,0,0,1,100,1,100,1,100,0,0,2,100,2,100,0,0,3,100
Centro Leste,Seabra,291440,Iraquara,1,100,6,100,3,100,4,100,5,100,5,100,2,100,6,85.71,4,100,4,100,38,100
Centro Leste,Seabra,291930,Lençóis,0,0,0,0,0,0,0,0,1,100,1,100,5,100,5,100,4,100,5,100,1,50
Centro Leste,Seabra,292190,Mucugê,0,0,0,0,0,0,1,100,4,80,1,100,2,100,2,100,1,100,2,100,10,100
Centro Leste,Seabra,292303,Novo Horizonte,1,100,0,0,0,0,1,100,0,0,2,100,0,0,0,0,2,100,3,100,0,0
Centro Leste,Seabra,292350,Palmeiras,0,0,3,100,1,50,1,100,0,0,3,100,0,0,1,100,2,100,3,100,0,0
Centro Leste,Seabra,292430,Piatã,0,0,0,0,0,0,5,100,9,100,8,100,7,100,2,100,6,100,5,100,5,83.33
Centro Leste,Seabra,292990,Seabra,0,0,1,100,5,100,13,100,16,100,9,90,8,100,5,100,19,100,16,80,40,100
Centro Leste,Seabra,293080,Souto Soares,0,0,2,100,3,75,1,100,1,100,3,100,1,100,7,100,4,100,8,100,4,33.33
Centro Leste,Serrinha,290040,Água Fria,2,66.67,1,50,0,0,3,100,1,100,1,100,1,100,5,100,1,100,2,100,7,100
Centro Leste,Serrinha,290210,Araci,5,100,1,100,5,100,20,100,14,100,6,100,14,100,8,100,19,100,31,96.88,10,100
Centro Leste,Serrinha,290327,Barrocas,1,100,0,0,5,100,2,100,0,0,5,100,0,0,4,100,3,100,9,100,6,100
Centro Leste,Serrinha,290360,Biritinga,0,0,3,100,3,75,0,0,1,100,5,100,1,100,6,100,6,100,6,100,5,100
Centro Leste,Serrinha,290680,Cansanção,1,100,0,0,6,100,8,100,3,100,6,100,14,100,51,100,22,100,50,100,24,100
Centro Leste,Serrinha,290840,Conceição do Coité,7,100,3,100,3,100,8,100,8,100,9,100,12,100,6,100,16,94.12,60,98.36,147,100
Centro Leste,Serrinha,291070,Euclides da Cunha,0,0,0,0,5,100,6,100,5,100,6,100,6,100,5,71.43,8,100,12,100,8,88.89
Centro Leste,Serrinha,291910,Lamarão,0,0,0,0,0,0,2,100,3,100,-,0,1,100,1,100,2,100,0,0,7,100
Centro Leste,Serrinha,292150,Monte Santo,0,0,7,100,4,100,5,83.33,4,100,4,80,5,100,17,94.44,15,100,6,100,8,100
Centro Leste,Serrinha,292265,Nordestina,2,100,5,100,2,100,0,0,2,100,8,100,1,100,4,100,2,100,2,100,3,100
Centro Leste,Serrinha,292580,Queimadas,3,100,1,100,1,100,0,0,2,100,2,100,1,100,6,85.71,6,100,5,100,2,100
Centro Leste,Serrinha,292590,Quijingue,1,100,1,100,2,25,1,100,0,0,2,100,3,100,8,100,5,100,1,100,3,100
Centro Leste,Serrinha,292610,Retirolândia,1,100,0,0,2,100,1,50,1,100,2,100,0,0,3,100,8,100,7,100,5,100
Centro Leste,Serrinha,292800,Santaluz,3,100,3,100,4,100,13,100,9,100,11,100,8,100,39,100,22,95.65,17,100,50,100
Centro Leste,Serrinha,292895,São Domingos,0,0,0,0,2,100,6,100,2,100,3,100,3,75,7,100,2,100,1,100,7,100
Centro Leste,Serrinha,293050,Serrinha,4,100,10,100,15,100,32,100,16,100,14,100,18,94.74,24,96,42,93.33,62,88.57,28,87.5
Centro Leste,Serrinha,293150,Teofilândia,1,100,1,100,5,100,1,100,9,100,6,100,5,100,5,100,5,100,10,100,6,100
Centro Leste,Serrinha,293190,Tucano,5,100,4,100,13,100,18,100,6,100,3,75,10,100,11,100,22,95.65,5,100,6,100
Centro Leste,Serrinha,293300,Valente,5,100,2,100,2,100,9,100,12,100,8,100,11,100,8,100,17,80.95,17,94.44,9,100
Centro Norte,Irecê,290115,América Dourada,0,0,1,100,6,100,1,100,2,100,2,100,1,100,2,100,1,100,12,100,7,100
Centro Norte,Irecê,290300,Barra do Mendes,0,0,8,100,7,100,4,100,12,100,10,100,6,100,24,100,8,100,6,100,35,100
Centro Norte,Irecê,290323,Barro Alto,0,0,1,100,2,100,2,100,0,0,-,0,1,100,4,100,1,100,2,100,5,100
Centro Norte,Irecê,290530,Cafarnaum,0,0,0,0,8,88.89,0,0,4,100,8,100,18,90,12,92.31,16,76.19,14,100,13,92.86
Centro Norte,Irecê,290620,Canarana,1,100,3,75,5,100,5,100,3,75,4,100,6,100,9,90,4,100,9,100,20,100
